Evaluating Agents...
Blue Agent 100 allows a maximum of 5.81 points, against Red Opponent 100.
Blue Agent 16 allows a maximum of 6.98 points, against Red Opponent 16.
Blue Agent 15 allows a maximum of 6.98 points, against Red Opponent 29.
Blue Agent 14 allows a maximum of 6.95 points, against Red Opponent 57.
Blue Agent 13 allows a maximum of 6.88 points, against Red Opponent 29.
Blue Agent 12 allows a maximum of 6.98 points, against Red Opponent 57.
Blue Agent 11 allows a maximum of 12.26 points, against Red Opponent 11.
Blue Agent 10 allows a maximum of 6.81 points, against Red Opponent 13.
Blue Agent 9 allows a maximum of 6.92 points, against Red Opponent 9.
Blue Agent 8 allows a maximum of 6.83 points, against Red Opponent 60.
Blue Agent 7 allows a maximum of 6.97 points, against Red Opponent 7.
Blue Agent 6 allows a maximum of 6.95 points, against Red Opponent 6.
Blue Agent 5 allows a maximum of 6.86 points, against Red Opponent 6.
Blue Agent 4 allows a maximum of 8.63 points, against Red Opponent 4.
Blue Agent 3 allows a maximum of 9.45 points, against Red Opponent 4.
Blue Agent 2 allows a maximum of 9.48 points, against Red Opponent 83.
Blue Agent 1 allows a maximum of 43.13 points, against Red Opponent 1.

Top performing Blue Agent is generation 85
